Majority_code,booked_days,order_price_paid,sum_kids,sum_adults,private,group,family,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18
43,0.15384615384615385,0.6610461538461538,0.11217948717948717,0.8878205128205128,0.44416465785673787,0.25796803265741824,0.2978673094858439,0.053056411652137966,0.052622454142761226,0.05530244216364513,0.04994246612187732,0.06551219377318059,0.052622454142761226,0.053056411652137966,0.04994246612187732,0.05570389686326714,0.07710006087546971,0.05570389686326714,0.04994246612187732,0.053056411652137966,0.07398611534520905,0.04994246612187732,0.04994246612187732,0.052622454142761226,0.04994246612187732
44,2.0,1.076,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.12213208856717125,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.12213208856717125,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604
48,8.791666666666666,0.7285083333333334,0.15853174603174602,0.841468253968254,0.40537369427354625,0.27570104458116296,0.31892526114529074,0.05682116604078638,0.05057961607094741,0.05057961607094741,0.05057961607094741,0.06744682102652595,0.05057961607094741,0.05682116604078638,0.05057961607094741,0.0537003910558669,0.08431402598210448,0.0537003910558669,0.05057961607094741,0.05057961607094741,0.06744682102652595,0.05057961607094741,0.05057961607094741,0.05057961607094741,0.053953057062063124
49,73.0,0.9,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796
55,10.0,0.4,0.06666666666666667,0.9333333333333333,0.49470374183941035,0.2180687558289926,0.28722750233159705,0.06166155199875868,0.07455370748833781,0.07455370748833781,0.04668183207114516,0.06166155199875869,0.06166155199875869,0.06166155199875868,0.04668183207114516,0.04668183207114516,0.06287434882850054,0.04668183207114516,0.04668183207114516,0.04668183207114516,0.04668183207114516,0.04668183207114516,0.04668183207114516,0.07455370748833781,0.04668183207114516
56,4.666666666666667,0.6625,0.0,1.0,0.4485979108376741,0.3333333333333333,0.21806875582899257,0.05042027668324056,0.0629033766229185,0.0629033766229185,0.05042027668324056,0.09090156857662905,0.05042027668324056,0.05042027668324056,0.05042027668324056,0.05042027668324056,0.0639140406477034,0.05042027668324056,0.05042027668324056,0.05042027668324056,0.0639140406477034,0.05042027668324056,0.05042027668324056,0.05042027668324056,0.05042027668324056
57,0.4931506849315068,0.7481068493150685,0.0271689497716895,0.9728310502283105,0.45491377809818584,0.2985960634005183,0.2464901585012958,0.05549097809051051,0.054321986010671605,0.05410751021224342,0.04933492880518988,0.07540601566823854,0.05036093701940999,0.05890127583720969,0.065175122428141,0.06040654336318283,0.05885293659080094,0.057542994518950716,0.04933492880518988,0.04933492880518988,0.05885293659080094,0.04933492880518988,0.04933492880518988,0.05457119083870076,0.04933492880518988
59,6.2,0.79828,0.22059523809523812,0.7794047619047619,0.35638624883420145,0.2526481290802948,0.3909656220855037,0.057400250606385414,0.04991039064257865,0.04991039064257865,0.04991039064257865,0.0620547782105952,0.04991039064257865,0.05365532062448203,0.05365532062448204,0.06489011057019219,0.0701510365892729,0.06489011057019219,0.04991039064257865,0.04991039064257865,0.0701510365892729,0.04991039064257865,0.04991039064257865,0.0539585198319175,0.04991039064257865
64,0.47058823529411764,0.6648235294117647,0.19732620320855615,0.8026737967914438,0.38079521818806183,0.25875037141875995,0.3604544103931782,0.0537578829823686,0.04935208300365874,0.04935208300365874,0.04935208300365874,0.04935208300365874,0.053450888212069426,0.0537578829823686,0.05754969342048011,0.06195549339918997,0.09155092764114094,0.06195549339918997,0.04935208300365874,0.04935208300365874,0.06773840299797124,0.04935208300365874,0.04935208300365874,0.05411458793229268,0.04935208300365874
65,0.6,0.7866,0.0,1.0,0.49470374183941035,0.28722750233159705,0.2180687558289926,0.04810490409161368,0.04810490409161368,0.06204084180021001,0.04810490409161368,0.04810490409161368,0.04810490409161368,0.06429742084896908,0.04810490409161368,0.07806434394684074,0.06204084180021001,0.07806434394684074,0.04810490409161368,0.04810490409161368,0.06204084180021001,0.04810490409161368,0.04810490409161368,0.04810490409161368,0.06429742084896908
68,0.6363636363636364,0.8583999999999999,0.12878787878787878,0.8712121212121212,0.4066835190179138,0.2495045496938128,0.3438119312882734,0.05552994728120335,0.04872098367774265,0.04872098367774265,0.04872098367774265,0.09921691015625568,0.04872098367774265,0.04872098367774265,0.06819898156174546,0.07500794516520616,0.04872098367774265,0.06867342802493509,0.04872098367774265,0.04872098367774265,0.04872098367774265,0.04872098367774265,0.04872098367774265,0.04872098367774265,0.04872098367774265
70,0.21875,0.5327125,0.13020833333333334,0.8697916666666666,0.4449958927906634,0.2396808641110565,0.3153232430982801,0.05245883322487855,0.05011825198618893,0.05011825198618893,0.05011825198618893,0.05770849421619927,0.05011825198618893,0.05498891396821533,0.05482582299649389,0.06399864844660517,0.06276865570287284,0.06399864844660517,0.05011825198618893,0.055178413472862495,0.07541905941955673,0.05011825198618893,0.05011825198618893,0.05011825198618893,0.05770849421619927
74,0.0,0.24,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.13202021802084493,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796,0.05105763423406796
75,1.8148148148148149,0.7964592592592593,0.10493827160493827,0.8950617283950618,0.44859791083767403,0.2500866940246428,0.30131539513768313,0.056554867554883086,0.0522005412381354,0.05884565725489615,0.04961981203283979,0.07949365817333665,0.04961981203283979,0.058391062670307255,0.058166470664799505,0.05516785645047442,0.05798882716227082,0.05516785645047442,0.04961981203283979,0.05111911914000232,0.06398605559092096,0.04961981203283979,0.04961981203283979,0.05519915545246047,0.04961981203283979
77,3.4525547445255476,0.7172773722627737,0.07029964662263932,0.9297003533773607,0.4629008146155849,0.25908443578035467,0.2780147496040603,0.05381979748196686,0.05283783929502367,0.054745130039813315,0.04971950918061279,0.07293973370218387,0.04985618545732459,0.05631645651549413,0.05739704539687027,0.05895970106587729,0.06861712316532825,0.05687763980280588,0.049867251121829534,0.0510491866515635,0.06315067134030865,0.04971950918061279,0.04971950918061279,0.053801750593858756,0.05060596082791327
89,0.0,0.554025,0.0,1.0,0.3909656220855037,0.39096562208550373,0.2180687558289926,0.049690196058154584,0.05840015712602729,0.05840015712602729,0.049690196058154584,0.059810519031501704,0.049690196058154584,0.059810519031501704,0.049690196058154584,0.059052521012913035,0.059810519031501704,0.059052521012913035,0.049690196058154584,0.049690196058154584,0.049690196058154584,0.049690196058154584,0.049690196058154584,0.0685204800993744,0.06993084200484882
91,1.0,1.282,0.0,1.0,0.5638624883420148,0.2180687558289926,0.2180687558289926,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.12213208856717125,0.12213208856717125,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604,0.047233488929103604
95,3.6153846153846154,1.051823076923077,0.21358849483849485,0.786411505161505,0.3111670684286524,0.30451718895724816,0.3843157426140994,0.057187049813657014,0.05276561308270915,0.05544560110359306,0.049985261386919735,0.057770125212571376,0.049985261386919735,0.05430633444296211,0.05730366489343989,0.052865976757614654,0.06045011323345528,0.052865976757614654,0.049985261386919735,0.0530992069171804,0.09314654130119214,0.049985261386919735,0.049985261386919735,0.0513252553973617,0.051542234152050066
