"product_id","category_id"
"284","6"
"284","5"
"284","4"
"284","3"
"284","2"
"284","1"
"285","1"
"285","5"
"267","5"
"286","9"
"287","1"
"288","2"
"289","2"
"289","4"
"290","1"
"290","3"
"290","4"
"290","6"
"291","1"
"291","3"
"291","5"
"294","1"
"294","18"
"292","1"
"293","1"
"293","12"
"293","18"
"294","6"
"295","12"
"296","1"
"296","18"
"297","2"
"297","5"
"269","4"
"298","1"
"298","3"
"298","5"
"298","8"
"299","3"
"299","2"
"299","1"
"300","8"
"300","3"
"301","6"
"301","4"
"302","17"
"303","1"
"303","17"
"304","17"
"305","1"
"305","2"
"306","1"
"306","9"
